Car_Model,Manufacture_Year,Fuel_Type,Service_Type,Total_KM,KM_Since_Last_Service,Days_Since_Last_Service,Engine_Oil_Change,Air_Filter_Replacement,Spark_Plugs_Replacement,Brake_Pads_Replacement,Brake_Fluid_Change,Wheel_Alignment,Tire_Rotation,AC_Service,AC_Filter_Replacement,Workload_Cars_Pending,Base_Service_Hours,Workload_Delay_Hours,Final_Service_Time_Hours,Predicted_Time
S60,2019,Petrol,General,64853,4588,305,0,0,1,1,1,0,0,0,0,23,6,19.1,25.1,4.6
XC90,2022,Diesel,General,54529,3303,97,0,0,0,1,0,1,0,0,0,13,6,7.3,13.3,4.5
XC40,2021,Petrol,Major,89759,13810,152,1,1,1,1,1,1,1,0,0,7,17,6.1,23.1,9.0
XC40,2022,Petrol,AC,24944,3737,164,0,0,0,0,0,1,0,1,0,10,2,9.1,11.1,4.4
XC90,2015,Petrol,Major,147266,17305,356,1,1,1,1,1,1,1,1,1,4,17,3.8,20.8,9.0
XC60,2020,Petrol,AC,21150,2718,124,0,0,0,0,0,0,0,1,0,22,2,10.9,12.9,3.3
XC60,2019,Petrol,AC,35328,4174,107,0,0,0,1,0,1,0,1,0,20,2,11.6,13.6,5.4
S60,2022,Petrol,General,45934,2910,135,0,0,1,1,0,1,0,0,0,16,6,14.7,20.7,4.7
V90,2021,Diesel,General,25622,2740,138,0,0,0,0,0,1,0,0,0,20,6,10.4,16.4,3.1
XC40,2023,Petrol,Brake,31093,2636,132,0,0,0,1,1,0,0,0,0,6,4,2.4,6.4,4.8
XC40,2015,Petrol,Brake,169397,12498,318,1,0,1,1,1,1,1,1,1,9,4,8.3,12.3,9.0
S60,2020,Diesel,Major,63020,12222,90,1,1,0,1,1,1,1,0,0,13,17,7.7,24.7,9.0
S60,2015,Petrol,AC,129346,18614,306,1,1,1,1,1,0,1,1,1,7,2,4.5,6.5,8.5
XC40,2020,Petrol,General,17869,2894,123,0,0,0,0,0,1,0,0,0,18,6,12.0,18.0,2.6
XC90,2020,Petrol,General,38711,4031,355,0,0,0,1,1,0,0,1,0,14,6,12.7,18.7,5.5
XC90,2022,Petrol,Major,41364,4758,181,1,1,0,1,1,0,0,0,0,22,17,13.3,30.3,7.6
V90,2022,Petrol,General,91480,8523,175,0,0,1,1,0,0,1,0,0,5,6,4.7,10.7,5.1
XC40,2021,Diesel,General,37312,2745,121,0,0,0,1,0,1,0,0,0,22,6,16.9,22.9,4.0
XC40,2023,Petrol,General,26229,2231,195,0,0,0,0,0,1,0,0,0,13,6,9.3,15.3,2.8
XC40,2021,Petrol,General,34489,5920,148,0,0,0,0,0,0,0,0,0,24,6,14.3,20.3,1.5
XC40,2023,Petrol,Major,69516,10764,155,1,1,1,1,1,1,1,0,0,8,17,4.4,21.4,9.0
S60,2020,Petrol,Brake,41951,5729,101,0,0,0,1,1,0,0,0,0,15,4,11.6,15.6,4.5
XC60,2019,Diesel,Brake,54884,6943,301,0,0,0,1,1,1,0,0,0,19,4,12.7,16.7,6.8
XC40,2021,Petrol,Major,18155,3433,145,1,1,0,0,1,0,0,0,0,9,17,8.5,25.5,6.2
XC60,2021,Petrol,General,104813,7356,197,0,0,1,1,0,1,0,0,0,6,6,4.2,10.2,5.5
XC90,2023,Diesel,Major,24300,2412,180,1,1,0,0,1,0,0,0,0,23,17,16.3,33.3,6.6
V90,2020,Petrol,General,21645,2359,357,0,0,0,0,1,1,0,1,0,14,6,9.1,15.1,4.8
XC90,2015,Diesel,General,154588,26208,147,1,1,0,1,0,1,1,0,0,23,6,20.1,26.1,6.8
XC40,2023,Petrol,General,17996,3580,129,0,0,0,0,0,0,0,0,0,10,6,6.5,12.5,2.1
XC90,2020,Petrol,Brake,47932,4490,352,0,0,1,1,1,0,0,1,0,9,4,5.1,9.1,7.6
S60,2022,Diesel,AC,112930,20598,82,1,1,0,1,0,1,1,1,1,17,2,15.6,17.6,8.0
XC60,2019,Diesel,Major,82042,14462,360,1,1,0,1,1,1,1,1,1,13,17,9.9,26.9,9.0
XC40,2021,Petrol,Major,15578,1424,117,1,1,0,0,1,1,0,0,0,17,17,12.8,29.8,7.3
S60,2019,Petrol,General,38574,4470,114,0,0,0,0,0,0,0,0,0,19,6,14.6,20.6,1.6
XC60,2021,Petrol,Major,72175,8470,81,1,1,1,1,1,0,1,0,0,13,17,10.8,27.8,8.8
S60,2022,Petrol,Major,24757,4875,67,1,1,0,0,1,0,0,0,0,9,17,5.3,22.3,6.2
XC90,2020,Diesel,General,102229,8722,340,0,0,0,1,1,0,1,1,1,1,6,0.4,6.4,6.8
XC40,2015,Petrol,General,175374,30143,175,1,1,1,1,0,1,1,0,0,1,6,0.9,6.9,7.4
XC90,2022,Petrol,Brake,26738,2855,137,0,0,0,1,1,1,0,0,0,5,4,2.4,6.4,6.5
V90,2019,Diesel,Major,15311,2485,269,1,1,0,0,1,1,0,0,0,8,17,6.7,23.7,7.5
XC40,2023,Petrol,Brake,27805,3303,96,0,0,0,1,1,0,0,0,0,18,4,8.1,12.1,4.7
XC90,2015,Petrol,Brake,156214,22021,238,1,1,1,1,1,0,1,0,0,4,4,2.5,6.5,8.3
XC40,2022,Diesel,AC,59650,10532,177,1,0,0,1,0,0,1,1,1,22,2,9.6,11.6,6.5
XC60,2015,Diesel,General,121550,20977,210,1,1,0,1,0,1,1,0,0,1,6,0.7,6.7,6.2
XC40,2022,Diesel,General,28415,5151,90,0,0,0,0,0,0,0,0,0,15,6,11.9,17.9,2.0
XC40,2022,Petrol,General,84578,5780,182,0,0,1,1,0,1,0,0,0,20,6,10.1,16.1,5.1
XC60,2020,Diesel,General,81792,12832,345,1,0,0,1,1,1,1,1,1,4,6,2.5,8.5,8.6
XC90,2021,Petrol,Major,15191,1209,93,1,1,0,0,1,0,0,0,0,9,17,8.6,25.6,6.0
XC40,2023,Petrol,Major,31314,3701,181,1,1,0,0,1,0,0,0,0,22,17,14.6,31.6,6.5
S60,2020,Diesel,Major,34043,4657,158,1,1,0,0,1,0,0,0,0,24,17,21.2,38.2,6.7
XC40,2022,Petrol,General,15450,1798,121,0,0,0,0,0,0,0,0,0,20,6,19.1,25.1,1.8
XC90,2020,Diesel,AC,43190,5733,363,0,0,0,1,1,1,0,1,0,10,2,9.8,11.8,6.8
XC60,2021,Petrol,General,86660,17289,105,1,1,1,1,0,0,1,0,0,24,6,22.5,28.5,5.6
XC90,2023,Petrol,General,92196,7277,115,0,0,1,1,0,1,0,0,0,15,6,8.9,14.9,5.3
V90,2021,Diesel,Major,59056,9127,194,1,1,0,1,1,0,1,0,0,3,17,2.9,19.9,8.5
XC40,2019,Petrol,Brake,58518,6755,273,0,0,1,1,1,0,0,0,0,2,4,1.8,5.8,5.9
XC40,2015,Petrol,General,132258,10398,143,1,0,1,1,0,1,1,0,0,22,6,19.9,25.9,6.5
XC60,2021,Petrol,General,112579,9256,172,0,0,1,1,0,0,1,0,0,5,6,2.0,8.0,4.8
XC40,2022,Diesel,Major,109786,21177,103,1,1,0,1,1,1,1,0,0,24,17,23.3,40.3,9.0
S60,2023,Petrol,General,10698,1959,187,0,0,0,0,0,0,0,0,0,1,6,0.9,6.9,1.5
S60,2023,Petrol,General,19151,3580,167,0,0,0,0,0,0,0,0,0,11,6,9.5,15.5,1.6
XC90,2020,Petrol,Major,14658,2914,333,1,1,0,0,1,0,0,1,0,12,17,5.4,22.4,7.3
XC60,2015,Diesel,General,175621,15659,243,1,1,0,1,0,0,1,0,0,3,6,1.6,7.6,6.5
V90,2015,Diesel,General,128344,14087,362,1,0,0,1,1,0,1,1,1,23,6,22.5,28.5,8.1
XC90,2021,Diesel,General,16265,2499,158,0,0,0,0,0,0,0,0,0,16,6,11.2,17.2,2.4
XC60,2020,Petrol,AC,59577,7609,97,0,0,1,1,0,0,0,1,1,14,2,8.9,10.9,6.0
XC60,2015,Petrol,AC,162215,19234,217,1,1,1,1,0,1,1,1,1,12,2,10.8,12.8,9.0
XC90,2015,Petrol,General,145680,16038,145,1,1,1,1,0,0,1,0,0,20,6,9.0,15.0,6.4
XC90,2019,Petrol,General,48178,6895,215,0,0,1,1,0,0,0,0,0,16,6,10.4,16.4,3.7
XC40,2023,Petrol,General,10854,1525,118,0,0,0,0,0,0,0,0,0,21,6,13.1,19.1,1.6
V90,2015,Diesel,General,154613,12771,148,1,0,0,1,0,1,1,0,0,8,6,4.9,10.9,6.4
S60,2015,Diesel,Major,126262,15914,147,1,1,0,1,1,1,1,0,0,17,17,9.9,26.9,9.0
XC40,2015,Petrol,Major,177440,24395,229,1,1,1,1,1,1,1,0,0,17,17,8.9,25.9,9.0
XC60,2022,Petrol,General,116446,16283,129,1,1,1,1,0,0,1,0,0,7,6,3.5,9.5,6.0
V90,2023,Diesel,General,54560,4878,182,0,0,0,1,0,0,0,0,0,15,6,11.8,17.8,3.7
V90,2015,Petrol,General,167435,27445,300,1,1,1,1,1,1,1,0,0,9,6,8.6,14.6,8.1
XC90,2021,Petrol,General,79982,5081,160,0,0,1,1,0,0,0,0,0,4,6,2.8,8.8,4.1
V90,2019,Petrol,General,41508,4552,256,0,0,0,1,0,0,0,0,0,8,6,4.6,10.6,3.7
V90,2021,Petrol,Major,53187,9000,99,1,1,1,1,1,1,1,0,0,10,17,5.0,22.0,9.0
XC60,2020,Diesel,Major,35183,4888,271,1,1,0,1,1,1,0,0,0,15,17,13.5,30.5,8.8
XC40,2019,Petrol,Major,59974,5791,211,1,1,1,1,1,0,0,0,0,23,17,22.6,39.6,8.1
V90,2020,Petrol,General,43275,6806,292,0,0,0,1,1,0,0,0,0,18,6,11.0,17.0,4.5
XC90,2015,Petrol,Major,159986,22307,118,1,1,1,1,1,1,1,0,0,14,17,8.0,25.0,9.0
XC40,2015,Diesel,General,178533,30613,291,1,1,0,1,1,1,1,0,0,5,6,3.8,9.8,7.8
XC90,2023,Petrol,General,53307,8683,106,0,0,1,1,0,1,1,0,0,9,6,7.8,13.8,5.6
V90,2022,Petrol,Major,53719,7811,65,1,1,1,1,1,0,0,0,0,13,17,8.8,25.8,8.3
XC40,2023,Diesel,General,61750,7925,75,0,0,0,1,0,1,0,0,0,19,6,14.8,20.8,4.4
V90,2015,Diesel,Major,133543,10502,273,1,1,0,1,1,1,1,0,0,11,17,9.1,26.1,9.0
XC60,2020,Diesel,Major,54663,5279,184,1,1,0,1,1,0,0,0,0,12,17,11.7,28.7,8.4
XC40,2022,Diesel,AC,11802,1400,199,0,0,0,0,0,0,0,1,0,3,2,1.5,3.5,4.0
XC90,2019,Petrol,AC,83398,12001,226,1,0,1,1,0,1,1,1,1,2,2,2.0,4.0,8.2
XC60,2020,Petrol,General,48312,6373,326,0,0,1,1,1,0,0,1,0,23,6,14.6,20.6,5.3
S60,2019,Petrol,AC,97311,9764,354,0,0,1,1,1,0,1,1,1,22,2,18.3,20.3,7.4
XC90,2015,Petrol,Major,132099,8045,224,1,1,1,1,1,1,1,0,0,15,17,11.2,28.2,9.0
V90,2020,Diesel,Major,11998,1553,233,1,1,0,0,1,0,0,0,0,5,17,3.5,20.5,6.8
XC90,2023,Diesel,General,14737,1473,108,0,0,0,0,0,0,0,0,0,7,6,5.7,11.7,2.3
S60,2015,Diesel,Brake,140199,22830,320,1,1,0,1,1,0,1,1,1,4,4,2.5,6.5,9.0
XC90,2022,Petrol,General,47139,2986,96,0,0,1,1,0,1,0,0,0,5,6,2.4,8.4,5.3
XC60,2020,Diesel,Brake,33807,4796,203,0,0,0,1,1,1,0,0,0,16,4,11.1,15.1,6.7
XC90,2021,Diesel,General,85931,16482,83,1,1,0,1,0,1,1,0,0,15,6,10.7,16.7,6.1
XC40,2015,Petrol,Major,154661,13056,214,1,1,1,1,1,0,1,0,0,16,17,8.3,25.3,9.0
S60,2015,Diesel,General,134137,16905,293,1,1,0,1,1,1,1,0,0,4,6,3.8,9.8,7.4
XC90,2019,Petrol,General,65626,4777,150,0,0,1,1,0,1,0,0,0,6,6,3.2,9.2,5.2
S60,2023,Petrol,General,91890,13562,186,1,0,1,1,0,0,1,0,0,18,6,11.6,17.6,5.1
XC60,2015,Diesel,General,134318,18411,102,1,1,0,1,0,1,1,0,0,3,6,1.5,7.5,6.7
XC40,2019,Diesel,General,24324,2846,344,0,0,0,0,1,0,0,1,0,22,6,15.9,21.9,4.2
V90,2015,Petrol,General,168730,22439,174,1,1,1,1,0,0,1,0,0,24,6,14.0,20.0,6.8
XC90,2020,Petrol,Major,74199,13765,109,1,1,1,1,1,0,1,0,0,5,17,3.5,20.5,9.0
XC60,2023,Diesel,Brake,23330,2040,83,0,0,0,1,1,0,0,0,0,2,4,1.1,5.1,5.0
S60,2019,Diesel,Major,79975,5051,253,1,1,0,1,1,0,0,0,0,23,17,9.9,26.9,7.8
S60,2023,Diesel,General,17994,3250,132,0,0,0,0,0,0,0,0,0,16,6,13.9,19.9,1.8
XC60,2022,Petrol,General,51195,7208,71,0,0,1,1,0,1,0,0,0,6,6,4.7,10.7,5.0
XC90,2023,Petrol,General,46641,8614,94,0,0,1,1,0,0,1,0,0,15,6,9.1,15.1,4.6
V90,2015,Petrol,AC,132355,19002,126,1,1,1,1,0,1,1,1,1,18,2,7.7,9.7,9.0
XC90,2015,Petrol,Brake,150874,26164,342,1,1,1,1,1,1,1,1,1,6,4,5.5,9.5,9.0
XC40,2015,Petrol,General,167309,20102,341,1,1,1,1,1,1,1,1,1,13,6,6.5,12.5,9.0
XC90,2021,Petrol,General,22079,3642,139,0,0,0,0,0,1,0,0,0,24,6,23.0,29.0,3.7
XC40,2022,Petrol,Brake,105893,19889,156,1,1,1,1,1,1,1,0,0,13,4,8.9,12.9,8.6
S60,2015,Petrol,Brake,121120,16968,143,1,1,1,1,1,1,1,0,0,1,4,0.6,4.6,8.7
XC40,2015,Diesel,Brake,134859,11504,267,1,0,0,1,1,1,1,0,0,16,4,13.5,17.5,7.9
V90,2021,Petrol,Brake,116373,11361,134,1,0,1,1,1,1,1,0,0,4,4,3.7,7.7,8.6
XC60,2015,Petrol,General,120774,10605,226,1,0,1,1,0,1,1,0,0,17,6,10.6,16.6,6.4
XC40,2015,Petrol,General,125641,11880,279,1,0,1,1,0,0,1,0,0,18,6,11.6,17.6,5.8
XC90,2020,Petrol,General,97599,10042,217,1,0,1,1,0,1,1,0,0,16,6,10.6,16.6,6.7
XC40,2015,Petrol,General,148801,20492,136,1,1,1,1,0,1,1,0,0,1,6,1.0,7.0,6.8
S60,2023,Diesel,General,15390,2190,74,0,0,0,0,0,0,0,0,0,6,6,4.9,10.9,2.0
XC40,2022,Diesel,Major,48251,5776,116,1,1,0,1,1,0,0,0,0,11,17,6.0,23.0,7.6
V90,2020,Petrol,General,117932,17236,239,1,1,1,1,0,1,1,0,0,6,6,3.1,9.1,7.3
XC40,2022,Petrol,General,89711,6407,93,0,0,1,1,0,1,0,0,0,17,6,9.1,15.1,4.7
V90,2020,Petrol,General,39065,2824,364,0,0,0,0,1,1,0,1,0,4,6,2.2,8.2,5.3
XC90,2022,Diesel,General,99443,8358,134,0,0,0,1,0,1,1,0,0,14,6,7.5,13.5,5.7
S60,2023,Petrol,General,17679,2343,88,0,0,0,0,0,0,0,0,0,14,6,11.1,17.1,1.5
XC60,2023,Petrol,Brake,48761,4386,75,0,0,1,1,1,0,0,0,0,20,4,9.4,13.4,5.5
XC90,2019,Diesel,Brake,15249,1519,259,0,0,0,1,1,0,0,0,0,8,4,5.1,9.1,5.5
XC90,2021,Diesel,General,19492,2261,96,0,0,0,0,0,0,0,0,0,22,6,17.1,23.1,2.6
XC60,2022,Diesel,Major,60806,10559,140,1,1,0,1,1,0,1,0,0,2,17,1.1,18.1,8.6
XC40,2019,Diesel,General,84354,5224,230,0,0,0,1,0,0,0,0,0,5,6,2.2,8.2,3.5
XC40,2021,Diesel,Major,22368,3375,78,1,1,0,0,1,0,0,0,0,4,17,1.8,18.8,5.9
XC40,2022,Petrol,General,115554,17754,161,1,1,1,1,0,1,1,0,0,10,6,4.8,10.8,6.7
S60,2015,Petrol,General,123230,21172,341,1,1,1,1,1,1,1,1,1,20,6,18.0,24.0,9.0
XC90,2021,Diesel,Brake,10659,2031,136,0,0,0,1,1,0,0,0,0,24,4,19.1,23.1,5.5
V90,2023,Diesel,General,34599,2173,100,0,0,0,0,0,0,0,0,0,21,6,9.2,15.2,2.2
XC60,2015,Diesel,General,120500,9824,152,0,0,0,1,0,0,1,0,0,3,6,1.9,7.9,4.3
XC90,2021,Petrol,General,83752,15415,85,1,1,1,1,0,1,1,0,0,16,6,9.1,15.1,7.1
XC40,2015,Petrol,General,123620,15352,98,1,1,1,1,0,1,1,0,0,10,6,7.5,13.5,6.8
XC60,2023,Petrol,General,97567,13565,162,1,0,1,1,0,1,1,0,0,15,6,10.7,16.7,6.5
V90,2022,Petrol,Brake,33568,5129,129,0,0,0,1,1,0,0,0,0,4,4,2.8,6.8,4.8
XC90,2020,Petrol,Major,55195,8559,129,1,1,1,1,1,1,1,0,0,1,17,0.6,17.6,9.0
XC90,2023,Diesel,Major,35343,6730,166,1,1,0,0,1,0,0,0,0,22,17,10.6,27.6,6.3
S60,2020,Petrol,General,24971,4983,343,0,0,0,0,1,0,0,1,0,15,6,12.7,18.7,3.6
XC90,2022,Diesel,General,49287,7926,78,0,0,0,1,0,1,0,0,0,10,6,9.3,15.3,4.8
XC90,2021,Diesel,General,104547,10476,127,1,0,0,1,0,0,1,0,0,20,6,19.3,25.3,4.6
V90,2020,Petrol,General,21120,3868,259,0,0,0,0,0,0,0,0,0,22,6,9.6,15.6,2.5
V90,2015,Petrol,Major,147833,9888,267,1,1,1,1,1,1,1,0,0,18,17,15.2,32.2,9.0
XC60,2015,Petrol,General,173824,16052,278,1,1,1,1,0,1,1,0,0,16,6,13.4,19.4,7.7
XC40,2023,Diesel,Brake,54177,10057,120,1,0,0,1,1,0,1,0,0,21,4,20.3,24.3,6.3
V90,2022,Diesel,General,58356,5594,151,0,0,0,1,0,0,0,0,0,9,6,5.0,11.0,3.8
XC60,2023,Diesel,General,59298,5389,89,0,0,0,1,0,1,0,0,0,24,6,20.3,26.3,4.5
XC90,2023,Diesel,General,22125,1755,186,0,0,0,0,0,0,0,0,0,19,6,8.2,14.2,2.5
XC60,2023,Petrol,General,15258,2750,174,0,0,0,0,0,0,0,0,0,17,6,13.2,19.2,1.8
XC60,2015,Diesel,General,125160,16271,196,1,1,0,1,0,1,1,0,0,10,6,6.1,12.1,6.7
XC60,2019,Diesel,General,58155,8984,262,0,0,0,1,0,1,1,0,0,19,6,16.4,22.4,5.4
XC60,2023,Diesel,General,58000,5421,69,0,0,0,1,0,0,0,0,0,8,6,7.3,13.3,3.3
V90,2019,Petrol,Major,11685,1941,336,1,1,0,0,1,1,0,1,0,19,17,11.8,28.8,8.4
XC40,2022,Diesel,Major,29662,4935,198,1,1,0,0,1,1,0,0,0,5,17,3.6,20.6,6.9
XC60,2023,Petrol,General,12558,1303,136,0,0,0,0,0,1,0,0,0,2,6,0.9,6.9,3.0
S60,2019,Diesel,General,18958,2227,136,0,0,0,0,0,0,0,0,0,15,6,9.8,15.8,2.3
XC90,2015,Petrol,Major,171543,15328,223,1,1,1,1,1,1,1,0,0,17,17,10.5,27.5,9.0
XC90,2023,Petrol,AC,98243,19326,111,1,1,1,1,0,0,1,1,1,10,2,5.1,7.1,7.8
XC90,2023,Petrol,Major,28666,4310,90,1,1,0,0,1,0,0,0,0,21,17,19.7,36.7,6.6
XC90,2022,Petrol,General,38935,7430,169,0,0,0,1,0,0,0,0,0,21,6,10.3,16.3,3.4
XC90,2015,Petrol,Major,140688,14416,361,1,1,1,1,1,1,1,1,1,22,17,17.2,34.2,9.0
XC60,2021,Diesel,Major,94911,16084,112,1,1,0,1,1,1,1,0,0,2,17,1.9,18.9,9.0
XC40,2022,Petrol,General,24637,4119,145,0,0,0,0,0,1,0,0,0,9,6,8.5,14.5,2.7
S60,2022,Petrol,Brake,83150,13040,61,1,0,1,1,1,1,1,0,0,2,4,1.8,5.8,8.0
V90,2022,Petrol,General,101786,19867,145,1,1,1,1,0,1,1,0,0,18,6,9.1,15.1,6.9
S60,2021,Petrol,AC,106828,12295,192,1,0,1,1,0,0,1,1,1,12,2,10.7,12.7,6.7
V90,2022,Petrol,Major,58765,4601,63,1,1,1,1,1,0,0,0,0,15,17,8.5,25.5,8.3
V90,2019,Petrol,Major,16528,2545,217,1,1,0,0,1,1,0,0,0,21,17,20.0,37.0,7.7
S60,2015,Petrol,Major,138301,22419,324,1,1,1,1,1,1,1,1,1,20,17,16.5,33.5,9.0
XC60,2023,Diesel,General,93933,13198,148,1,0,0,1,0,0,1,0,0,6,6,5.2,11.2,4.7
XC90,2020,Petrol,Major,28308,2518,270,1,1,0,0,1,0,0,0,0,18,17,8.1,25.1,6.5
XC60,2020,Petrol,Brake,13943,1821,246,0,0,0,1,1,0,0,0,0,13,4,9.7,13.7,4.9
XC90,2015,Petrol,Major,143300,14861,148,1,1,1,1,1,1,1,0,0,4,17,3.6,20.6,9.0
XC40,2015,Diesel,Brake,166937,20006,338,1,1,0,1,1,0,1,1,1,12,4,11.0,15.0,9.0
V90,2021,Petrol,Brake,28070,4219,75,0,0,0,1,1,0,0,0,0,9,4,3.8,7.8,5.0
S60,2021,Petrol,AC,31338,5149,179,0,0,0,0,0,1,0,1,0,2,2,1.9,3.9,4.0
XC40,2019,Petrol,Major,30729,2842,169,1,1,0,0,1,0,0,0,0,16,17,6.8,23.8,6.2
XC90,2021,Petrol,Major,61622,7194,67,1,1,1,1,1,1,0,0,0,1,17,0.8,17.8,9.0
XC60,2022,Petrol,General,27943,2729,147,0,0,0,0,0,0,0,0,0,4,6,3.3,9.3,1.5
S60,2015,Petrol,Major,136898,12020,255,1,1,1,1,1,1,1,0,0,15,17,7.0,24.0,9.0
V90,2023,Petrol,General,16184,2746,78,0,0,0,0,0,0,0,0,0,20,6,8.6,14.6,1.4
XC40,2019,Petrol,General,27357,5123,303,0,0,0,0,1,1,0,0,0,1,6,0.9,6.9,3.5
V90,2021,Petrol,General,46069,5152,125,0,0,1,1,0,0,0,0,0,20,6,12.6,18.6,3.5
XC90,2020,Diesel,Brake,49189,8124,310,0,0,0,1,1,1,1,1,0,15,4,7.0,11.0,8.2
V90,2020,Diesel,Brake,73025,13551,274,1,0,0,1,1,0,1,0,0,3,4,2.6,6.6,7.1
XC60,2015,Petrol,Major,179123,31965,296,1,1,1,1,1,0,1,0,0,13,17,11.8,28.8,9.0
XC40,2020,Petrol,General,48295,4133,188,0,0,1,1,0,0,0,0,0,18,6,13.5,19.5,4.3
XC40,2015,Diesel,Major,130342,25270,331,1,1,0,1,1,1,1,1,1,13,17,6.5,23.5,9.0
XC60,2015,Diesel,Major,171496,19333,247,1,1,0,1,1,1,1,0,0,10,17,4.1,21.1,9.0
V90,2021,Petrol,General,56976,6124,92,0,0,1,1,0,1,0,0,0,20,6,16.4,22.4,4.7
XC60,2015,Diesel,General,164540,11310,131,1,0,0,1,0,1,1,0,0,24,6,17.5,23.5,7.1
S60,2019,Petrol,General,47693,6107,228,0,0,1,1,0,1,0,0,0,7,6,5.5,11.5,4.9
XC60,2019,Petrol,Major,15864,1193,316,1,1,0,0,1,1,0,1,0,8,17,7.1,24.1,8.4
V90,2022,Petrol,Major,52580,4984,187,1,1,1,1,1,1,0,0,0,1,17,0.7,17.7,9.0
XC60,2022,Petrol,General,10206,1065,137,0,0,0,0,0,1,0,0,0,18,6,8.5,14.5,2.9
XC90,2019,Petrol,AC,41677,7219,107,0,0,0,1,0,0,0,1,0,12,2,11.6,13.6,4.4
XC60,2021,Petrol,General,86745,15836,174,1,1,1,1,0,1,1,0,0,18,6,13.1,19.1,6.8
XC60,2015,Diesel,General,177424,18158,134,1,1,0,1,0,1,1,0,0,24,6,18.5,24.5,6.9
V90,2023,Petrol,General,52293,9424,172,0,0,1,1,0,0,1,0,0,12,6,11.5,17.5,4.3
S60,2019,Petrol,General,30344,5462,266,0,0,0,0,0,1,0,0,0,20,6,19.2,25.2,2.6
S60,2015,Petrol,General,133506,22302,311,1,1,1,1,1,1,1,1,1,9,6,6.7,12.7,9.0
V90,2019,Petrol,General,96397,7763,181,0,0,1,1,0,1,0,0,0,2,6,1.2,7.2,5.3
V90,2021,Petrol,Major,94801,14850,99,1,1,1,1,1,1,1,0,0,14,17,14.0,31.0,9.0
V90,2022,Diesel,General,115961,22299,144,1,1,0,1,0,1,1,0,0,4,6,3.2,9.2,6.2
XC90,2015,Petrol,Major,174390,27127,181,1,1,1,1,1,1,1,0,0,15,17,9.7,26.7,9.0
XC40,2019,Petrol,Major,43548,4634,281,1,1,0,1,1,0,0,0,0,17,17,12.5,29.5,7.1
XC60,2020,Diesel,General,16736,2177,166,0,0,0,0,0,0,0,0,0,19,6,12.3,18.3,1.8
V90,2021,Petrol,Brake,11184,1682,180,0,0,0,1,1,0,0,0,0,6,4,5.6,9.6,4.9
V90,2019,Diesel,General,28130,3698,327,0,0,0,0,1,0,0,1,0,9,6,6.2,12.2,4.3
V90,2020,Petrol,Brake,39216,3011,224,0,0,0,1,1,0,0,0,0,17,4,15.2,19.2,5.4
